2.000000,512.000000,32.790154,4.500000,
2.000000,1024.000000,34.844269,5.000000,
2.000000,2048.000000,36.332188,5.500000,
2.000000,4096.000000,38.510864,6.000000,
2.000000,8192.000000,40.343346,6.500000,
2.000000,16384.000000,42.269691,7.000000,
2.000000,512.000000,37.996769,4.500000,
2.000000,1024.000000,41.569740,5.000000,
2.000000,2048.000000,43.812622,5.500000,
2.000000,4096.000000,46.630608,6.000000,
2.000000,8192.000000,49.386799,6.500000,
2.000000,16384.000000,53.568314,7.000000,
4.000000,512.000000,27.020287,2.250000,
4.000000,1024.000000,28.218018,2.500000,
4.000000,2048.000000,29.460089,2.750000,
4.000000,4096.000000,30.555117,3.000000,
4.000000,8192.000000,31.816452,3.250000,
4.000000,16384.000000,33.154541,3.500000,
