-759,-680,-756,-546
-676,-601,-365,124
-565,-305,-218,534
-401,-693,288,-674
-680,-690,-655,-677
-688,-683,-660,-695
-621,-175,-321,865
-32,133,753,673
252,409,580,487
-297,-87,-173,25
-466,-526,-13,-78
-470,-404,10,94
-318,-237,134,164
-170,-100,190,199
-107,-136,219,182
-382,-632,59,-593
-562,-409,-443,-214
112,169,321,370
162,184,355,355
350,352,333,341
344,396,343,384
20,-130,-2,-142
-73,-89,-99,-95
-110,10,-98,-134
370,444,-85,308
322,535,555,364
650,310,400,642
293,228,484,287
140,137,103,207
114,98,29,84
-13,143,31,183
102,55,99,39
-49,0,-29,63
62,42,64,36
-62,-124,-132,-173
-72,-63,-73,-58
-93,-101,-123,-109
-53,-67,-48,-76
-192,-134,-76,-139
-131,-91,-139,-10
29,-96,-7,-87
-126,-109,-267,-22
-66,106,314,517
378,400,306,64
-54,-768,-77,-761
-761,-697,-785,-444
-163,374,-60,314
-104,261,11,183
328,-571,437,-476
-677,-677,-692,-672
-649,-723,-637,-726
-147,622,134,622
518,510,582,540
538,278,549,127
-86,-133,-30,-263
113,116,-22,210
183,216,189,182
236,246,163,153
235,228,148,176
219,210,209,207
128,-391,89,219
-504,-139,39,-112
288,320,320,317
298,302,316,322
329,342,326,343
333,381,330,388
-4,-137,21,-123
-91,-87,-84,-83
-105,-98,-96,-117
-124,-130,-129,-111
117,510,-123,-81
448,401,695,801
655,655,307,376
276,198,587,265
38,24,22,7
103,128,109,92
67,-16,32,-28
25,38,58,73
63,-14,84,-49
-154,-171,-127,-68
-82,-23,-79,-72
-125,-78,-12,-57
-85,-89,-142,-24
2,-180,-34,-128
-170,13,-142,78
-59,132,-16,526
311,420,581,385
412,222,144,-599
43,-117,-7,-120
-335,-756,-299,-755
-772,-470,-753,-555
49,286,66,178
173,118,235,-6
574,-334,615,-189
-712,-662,-730,-651
-640,-676,-661,-544
350,549,500,519
604,522,637,507
502,-13,451,-143
-16,-312,-17,-364
-34,-8,-80,-467
180,184,-221,178
165,181,169,186
182,160,194,205
160,123,210,208
43,17,214,306
150,120,347,184
250,328,254,338
317,322,306,322
314,338,315,330
334,382,326,397
15,-134,-4,-124
-102,-96,-75,-78
-88,-115,-68,-108
-130,-104,-125,-117
-150,355,26,750
902,408,810,357
-201,-118,38,98
-190,-29,122,41
-5,-17,-242,-292
37,81,-229,-261
-29,-13,-336,-182
8,43,-256,-228
-50,-208,-240,-281
-209,-185,-275,-226
-162,-258,-261,-294
-199,-295,-255,-312
-306,-254,-298,-243
-253,-279,-228,-237
-286,-224,-284,-267
-184,573,-102,551
500,360,302,341
3,-667,-42,-628
59,-148,80,-161
-297,-757,-233,-757
-733,-587,-723,-603
46,68,-111,49
271,-74,239,-67
593,-30,491,147
-733,-633,-722,-608
-701,-298,-720,49
541,486,528,517
603,489,586,481
318,-276,94,-313
17,-314,-27,-662
196,8,16,222
-776,23,-535,7
325,272,281,208
322,333,178,86
339,334,-28,-147
302,247,-263,-371
163,85,-395,-391
205,359,238,353
326,294,333,328
318,334,322,346
327,403,331,399
15,-181,-17,-237
-80,-87,-118,-77
-80,-109,-85,-115
-102,-161,-80,-145
310,688,362,554
797,368,706,325
98,169,140,161
303,281,308,225
13,-42,43,54
-79,77,130,-181
155,140,-386,-319
123,243,-455,-389
18,-142,130,158
-34,-17,-131,-91
-64,-72,-108,-119
-112,-73,-222,-207
-47,-81,-115,-160
-125,-82,-145,-61
-67,-50,-31,-112
116,579,113,604
211,292,59,237
-119,-564,-231,-500
82,-194,82,-199
-199,-755,-156,-755
-716,-605,-711,-559
-213,59,-546,90
182,-30,142,35
384,294,254,439
-688,-611,-632,-674
-627,357,-366,459
390,489,380,539
552,466,450,431
-176,-311,-485,-220
322,135,153,-375
-210,-93,-444,-560
241,-40,-632,-645
-343,-429,-633,-636
-524,-590,-632,-615
-625,-631,-605,-617
-612,-586,-609,-593
-528,-363,-549,-112
279,340,383,295
322,322,306,286
327,344,304,340
349,391,346,377
44,-218,88,-161
-156,-96,-148,-122
-91,-109,-110,-101
-66,-143,-70,-143
326,526,268,455
668,247,633,259
80,138,82,148
335,148,341,61
-20,255,173,-24
-146,-420,-338,-218
-215,-134,-228,-288
-238,-426,-323,-211
-605,227,-447,-414
347,-184,483,233
-27,-175,-91,-178
-223,-231,-245,-200
-126,-127,-209,-161
-177,-50,-213,-93
14,-114,-35,-118
55,544,28,485
-36,272,-80,193
-328,-444,-434,-375
98,-199,96,-186
-125,-756,-113,-760
-708,-529,-701,-484
-613,52,-692,-119
157,91,144,161
102,616,24,831
-517,-707,-354,-612
35,396,318,367
408,463,399,453
459,231,448,-63
-676,-110,-497,96
37,-646,94,-605
-556,-570,-544,-585
-565,-573,-595,-590
-597,-610,-585,-609
-620,-596,-614,-596
-553,-475,-587,-574
-496,-192,-398,238
-43,321,2,290
486,266,284,271
310,328,246,253
329,369,288,327
379,381,329,346
115,-93,90,-67
-66,-86,-47,-111
-110,-79,-108,-50
-59,-137,-49,-113
240,429,193,331
575,375,498,460
158,169,220,206
301,147,290,232
92,-28,-110,310
19,-378,394,-77
-366,-96,-511,-541
-206,-307,-300,-169
-363,-528,-329,-575
139,445,-149,337
216,-193,419,145
-230,-167,-239,-186
-258,-243,-248,-321
-186,-148,-187,-136
-22,-75,-28,-45
12,457,48,427
-114,220,-117,182
-468,-296,-520,-203
119,-180,144,-181
-71,-758,-52,-760
-684,-516,-679,-493
-265,-24,-361,-252
48,250,111,241
224,720,59,234
-232,-425,340,-15
367,350,90,197
307,405,73,-69
192,266,-258,-300
422,362,-435,-367
70,-579,157,-395
-501,-524,-421,-472
-514,-487,-479,-460
-525,-628,-567,-621
-605,-586,-599,-593
-584,-512,-556,-342
-197,116,-6,10
-77,323,21,41
78,333,33,383
244,287,294,295
292,339,305,327
338,342,340,372
56,-41,33,-70
-59,-85,-25,-49
