212,272
218,210
270,245
254,292
299,274
319,309
349,262
387,317
186,231
166,197
130,131
124,124
119,118
109,110
109,107
105,105
284,357
319,405
349,347
412,349
388,398
435,422
362,472
434,525
456,367
507,395
438,467
490,488
529,443
555,502
515,545
565,579
336,549
373,611
440,574
481,631
414,710
448,844
360,1097
542,1052
600,414
649,463
619,538
667,615
705,559
818,593
782,445
875,469
543,664
618,682
624,612
695,710
675,658
749,738
716,772
792,824
772,665
868,732
1003,465
950,576
924,657
1021,660
1161,670
1395,729
600,774
653,820
668,905
764,936
735,811
827,895
850,999
908,1060
799,752
852,799
842,845
950,882
906,838
1038,857
978,786
1054,965
889,898
962,974
989,929
985,1092
1137,902
1235,961
1264,823
1398,982
925,938
1063,1021
1002,1052
1136,1081
1140,1001
1251,1065
1179,1143
1280,1138
493,1305
619,1485
737,1103
816,1191
958,1158
1056,1233
939,1316
971,1461
999,1005
1071,1074
1106,1120
1174,1267
1117,1164
1265,1214
1325,1237
1319,1327
1029,1038
1191,1198
1145,1207
1269,1338
1387,1194
1480,1241
1274,1282
1411,1426
1227,1245
1384,1298
1139,1373
1330,1456
1354,1380
1486,1491
1412,1368
1572,1429
0,0
