1,1,16,35.505250,4.000000
1,1,32,40.919091,5.000000
1,1,64,46.547395,6.000000
1,1,128,51.794064,7.000000
1,2,16,31.468432,2.000000
1,2,32,33.382529,2.500000
1,2,64,35.799968,3.000000
1,2,128,38.345755,3.500000
1,2,256,41.294511,4.000000
1,2,512,44.235712,4.500000
1,2,1024,47.194668,5.000000
1,2,2048,49.866750,5.500000
1,2,4096,52.484721,6.000000
1,2,8192,56.166810,6.500000
1,2,16384,60.864234,7.000000
2,1,16,31.164003,2.000000
2,1,32,32.783851,2.500000
2,1,64,35.030370,3.000000
2,1,128,37.987580,3.500000
2,1,256,40.956574,4.000000
2,1,512,43.968181,4.500000
2,1,1024,46.838977,5.000000
2,1,2048,49.588311,5.500000
2,1,4096,52.234595,6.000000
2,1,8192,55.702638,6.500000
2,1,16384,60.060027,7.000000
2,2,16,29.555518,1.000000
2,2,32,30.528023,1.250000
2,2,64,31.813207,1.500000
2,2,128,33.147527,1.750000
2,2,256,34.515164,2.000000
2,2,512,35.963986,2.250000
2,2,1024,37.311564,2.500000
2,2,2048,38.682439,2.750000
2,2,4096,40.151510,3.000000
2,2,8192,41.589712,3.250000
2,2,16384,42.994740,3.500000
2,4,16,27.633157,0.500000
2,4,32,28.726025,0.625000
2,4,64,29.609527,0.750000
2,4,128,30.491827,0.875000
2,4,256,31.459725,1.000000
2,4,512,32.356272,1.125000
2,4,1024,33.132428,1.250000
2,4,2048,33.879258,1.375000
2,4,4096,34.625829,1.500000
2,4,8192,35.341006,1.625000
2,4,16384,36.012830,1.750000
4,2,16,27.600972,0.500000
4,2,32,28.519959,0.625000
4,2,64,29.505615,0.750000
4,2,128,30.471259,0.875000
4,2,256,31.339677,1.000000
4,2,512,32.222270,1.125000
4,2,1024,33.023972,1.250000
4,2,2048,33.812983,1.375000
4,2,4096,34.573550,1.500000
4,2,8192,35.249059,1.625000
4,2,16384,35.942683,1.750000
4,4,16,26.445360,0.250000
4,4,32,27.204331,0.312500
4,4,64,27.879037,0.375000
4,4,128,28.787556,0.437500
4,4,256,29.545273,0.500000
4,4,512,30.169846,0.562500
4,4,1024,30.769490,0.625000
4,4,2048,31.336035,0.687500
4,4,4096,31.813441,0.750000
4,4,8192,32.242713,0.812500
4,4,16384,32.624383,0.875000
4,8,16,25.111083,0.125000
4,8,32,25.956861,0.156250
4,8,64,26.629303,0.187500
4,8,128,27.335656,0.218750
4,8,256,27.858539,0.250000
4,8,512,28.385246,0.281250
4,8,1024,28.859337,0.312500
4,8,2048,29.255652,0.343750
4,8,4096,29.595956,0.375000
4,8,8192,29.822833,0.406250
4,8,16384,30.075157,0.437500
8,4,16,24.948211,0.125000
8,4,32,25.974889,0.156250
8,4,64,26.555191,0.187500
8,4,128,27.105031,0.218750
8,4,256,27.700962,0.250000
8,4,512,28.192672,0.281250
8,4,1024,28.676481,0.312500
8,4,2048,29.081389,0.343750
8,4,4096,29.399842,0.375000
8,4,8192,29.690376,0.406250
8,4,16384,29.927861,0.437500
8,8,16,24.069552,0.062500
8,8,32,24.999206,0.078125
8,8,64,25.654699,0.093750
8,8,128,26.138268,0.109375
8,8,256,26.498862,0.125000
8,8,512,26.901664,0.140625
8,8,1024,27.277434,0.156250
8,8,2048,27.539365,0.171875
8,8,4096,27.770371,0.187500
8,8,8192,27.941108,0.203125
8,8,16384,28.088902,0.218750
